uf,municipio,regiao
AM,Careiro,Norte
AM,Careiro da Várzea,Norte
AM,Coari,Norte
AM,Codajás,Norte
AM,Eirunepé,Norte
AM,Envira,Norte
AM,Fonte Boa,Norte
AM,Guajará,Norte
AM,Humaitá,Norte
AM,Ipixuna,Norte
AM,Iranduba,Norte
AM,Itacoatiara,Norte
AM,Itamarati,Norte
AM,Itapiranga,Norte
AM,Japurá,Norte
AM,Juruá,Norte
AM,Jutaí,Norte
AM,Lábrea,Norte
AM,Manacapuru,Norte
AM,Manaquiri,Norte
AM,Manaus,Norte
AM,Manicoré,Norte
AM,Maraã,Norte
AM,Maués,Norte
AM,Nhamundá,Norte
AM,Nova Olinda do Norte,Norte
AM,Novo Airão,Norte
AM,Novo Aripuanã,Norte
AM,Parintins,Norte
AM,Pauini,Norte
AM,Presidente Figueiredo,Norte
AM,Rio Preto da Eva,Norte
AM,Santa Isabel do Rio Negro,Norte
AM,Santo Antônio do Içá,Norte
AM,São Gabriel da Cachoeira,Norte
AM,São Paulo de Olivença,Norte
AM,São Sebastião do Uatumã,Norte
AM,Silves,Norte
AM,Tabatinga,Norte
AM,Tapauá,Norte
AM,Tefé,Norte
AM,Tonantins,Norte
AM,Uarini,Norte
AM,Urucará,Norte
AM,Urucurituba,Norte
RR,Amajari,Norte
RR,Alto Alegre,Norte
RR,Boa Vista,Norte
RR,Bonfim,Norte
RR,Cantá,Norte
RR,Caracaraí,Norte
RR,Caroebe,Norte
RR,Iracema,Norte
RR,Mucajaí,Norte
RR,Normandia,Norte
RR,Pacaraima,Norte
RR,Rorainópolis,Norte
RR,São João da Baliza,Norte
RR,São Luiz,Norte
RR,Uiramutã,Norte
PA,Abaetetuba,Norte
PA,Abel Figueiredo,Norte
PA,Acará,Norte
PA,Afuá,Norte
PA,Água Azul do Norte,Norte
PA,Alenquer,Norte
PA,Almeirim,Norte
PA,Altamira,Norte
PA,Anajás,Norte
PA,Ananindeua,Norte
PA,Anapu,Norte
PA,Augusto Corrêa,Norte
PA,Aurora do Pará,Norte
PA,Aveiro,Norte
PA,Bagre,Norte
PA,Baião,Norte
PA,Bannach,Norte
PA,Barcarena,Norte
PA,Belém,Norte
PA,Belterra,Norte
PA,Benevides,Norte
PA,Bom Jesus do Tocantins,Norte
PA,Bonito,Norte
PA,Bragança,Norte
PA,Brasil Novo,Norte
PA,Brejo Grande do Araguaia,Norte
PA,Breu Branco,Norte
PA,Breves,Norte
PA,Bujaru,Norte
PA,Cachoeira do Piriá,Norte
PA,Cachoeira do Arari,Norte
PA,Cametá,Norte
PA,Canaã Dos Carajás,Norte
PA,Capanema,Norte
PA,Capitão Poço,Norte
PA,Castanhal,Norte
PA,Chaves,Norte
PA,Colares,Norte
PA,Conceição do Araguaia,Norte
PA,Concórdia do Pará,Norte
PA,Cumaru do Norte,Norte
PA,Curionópolis,Norte
PA,Curralinho,Norte
PA,Curuá,Norte
PA,Curuçá,Norte
PA,Dom Eliseu,Norte
PA,Eldorado Dos Carajás,Norte
PA,Faro,Norte
PA,Floresta do Araguaia,Norte
PA,Garrafão do Norte,Norte
PA,Goianésia do Pará,Norte
PA,Gurupá,Norte
PA,Igarapé-açu,Norte
PA,Igarapé-miri,Norte
PA,Inhangapi,Norte
PA,Ipixuna do Pará,Norte
PA,Irituia,Norte
PA,Itaituba,Norte
PA,Itupiranga,Norte
PA,Jacareacanga,Norte
PA,Jacundá,Norte
PA,Juruti,Norte
PA,Limoeiro do Ajuru,Norte
PA,Mãe do Rio,Norte
PA,Magalhães Barata,Norte
PA,Marabá,Norte
PA,Maracanã,Norte
PA,Marapanim,Norte
PA,Marituba,Norte
PA,Medicilândia,Norte
PA,Melgaço,Norte
PA,Mocajuba,Norte
PA,Moju,Norte
PA,Mojuí dos Campos,Norte
PA,Monte Alegre,Norte
PA,Muaná,Norte
PA,Nova Esperança do Piriá,Norte
PA,Nova Ipixuna,Norte
PA,Nova Timboteua,Norte
PA,Novo Progresso,Norte
PA,Novo Repartimento,Norte
PA,Óbidos,Norte
PA,Oeiras do Pará,Norte
PA,Oriximiná,Norte
PA,Ourém,Norte
PA,Ourilândia do Norte,Norte
PA,Pacajá,Norte
PA,Palestina do Pará,Norte
PA,Paragominas,Norte
PA,Parauapebas,Norte
PA,Pau D´arco,Norte
PA,Peixe-boi,Norte
PA,Piçarra,Norte
PA,Placas,Norte
PA,Ponta de Pedras,Norte
PA,Portel,Norte
PA,Porto de Moz,Norte
PA,Prainha,Norte
PA,Primavera,Norte
PA,Quatipuru,Norte
PA,Redenção,Norte
PA,Rio Maria,Norte
PA,Rondon do Pará,Norte
PA,Rurópolis,Norte
PA,Salinópolis,Norte
PA,Salvaterra,Norte
PA,Santa Bárbara do Pará,Norte
PA,Santa Cruz do Arari,Norte
PA,Santa Isabel do Pará,Norte
PA,Santa Luzia do Pará,Norte
PA,Santa Maria Das Barreiras,Norte
PA,Santa Maria do Pará,Norte
PA,Santana do Araguaia,Norte
PA,Santarém,Norte
PA,Santarém Novo,Norte
PA,Santo Antônio do Tauá,Norte
PA,São Caetano de Odivelas,Norte
PA,São Domingos do Araguaia,Norte
PA,São Domingos do Capim,Norte
PA,São Félix do Xingu,Norte
PA,São Francisco do Pará,Norte
PA,São Geraldo do Araguaia,Norte
PA,São João da Ponta,Norte
PA,São João de Pirabas,Norte
PA,São João do Araguaia,Norte
PA,São Miguel do Guamá,Norte
PA,São Sebastião da Boa Vista,Norte
PA,Sapucaia,Norte
PA,Senador José Porfírio,Norte
PA,Soure,Norte
PA,Tailândia,Norte
PA,Terra Alta,Norte
PA,Terra Santa,Norte
PA,Tomé-açu,Norte
PA,Tracuateua,Norte
PA,Trairão,Norte
PA,Tucumã,Norte
PA,Tucuruí,Norte
PA,Ulianópolis,Norte
PA,Uruará,Norte
PA,Vigia,Norte
PA,Viseu,Norte
PA,Vitória do Xingu,Norte
PA,Xinguara,Norte
AP,Serra do Navio,Norte
AP,Amapá,Norte
AP,Pedra Branca do Amapari,Norte
AP,Calçoene,Norte
AP,Cutias,Norte
AP,Ferreira Gomes,Norte
AP,Itaubal,Norte
AP,Laranjal do Jari,Norte
AP,Macapá,Norte
AP,Mazagão,Norte
AP,Oiapoque,Norte
AP,Porto Grande,Norte
AP,Pracuúba,Norte
AP,Santana,Norte
AP,Tartarugalzinho,Norte
AP,Vitória do Jari,Norte
TO,Abreulândia,Norte
TO,Aguiarnópolis,Norte
TO,Aliança do Tocantins,Norte
TO,Almas,Norte
TO,Alvorada,Norte
TO,Ananás,Norte
TO,Angico,Norte
TO,Aparecida do Rio Negro,Norte
TO,Aragominas,Norte
TO,Araguacema,Norte
TO,Araguaçu,Norte
TO,Araguaína,Norte
TO,Araguanã,Norte
TO,Araguatins,Norte
TO,Arapoema,Norte
TO,Arraias,Norte
TO,Augustinópolis,Norte
TO,Aurora do Tocantins,Norte
TO,Axixá do Tocantins,Norte
TO,Babaçulândia,Norte
TO,Bandeirantes do Tocantins,Norte
TO,Barra do Ouro,Norte
TO,Barrolândia,Norte
TO,Bernardo Sayão,Norte
TO,Bom Jesus do Tocantins,Norte
TO,Brasilândia do Tocantins,Norte
TO,Brejinho de Nazaré,Norte
TO,Buriti do Tocantins,Norte
TO,Cachoeirinha,Norte
TO,Campos Lindos,Norte
TO,Cariri do Tocantins,Norte
TO,Carmolândia,Norte
TO,Carrasco Bonito,Norte
TO,Caseara,Norte
TO,Centenário,Norte
TO,Chapada de Areia,Norte
TO,Chapada da Natividade,Norte
TO,Colinas do Tocantins,Norte
TO,Combinado,Norte
TO,Conceição do Tocantins,Norte
TO,Couto de Magalhães,Norte
TO,Cristalândia,Norte
TO,Crixás do Tocantins,Norte
TO,Darcinópolis,Norte
TO,Dianópolis,Norte
TO,Divinópolis do Tocantins,Norte
TO,Dois Irmãos do Tocantins,Norte
TO,Dueré,Norte
TO,Esperantina,Norte
TO,Fátima,Norte
TO,Figueirópolis,Norte
TO,Filadélfia,Norte
TO,Formoso do Araguaia,Norte
TO,Fortaleza do Tabocão,Norte
TO,Goianorte,Norte
TO,Goiatins,Norte
TO,Guaraí,Norte
TO,Gurupi,Norte
TO,Ipueiras,Norte
TO,Itacajá,Norte
TO,Itaguatins,Norte
TO,Itapiratins,Norte
TO,Itaporã do Tocantins,Norte
TO,Jaú do Tocantins,Norte
TO,Juarina,Norte
TO,Lagoa da Confusão,Norte
TO,Lagoa do Tocantins,Norte
TO,Lajeado,Norte
TO,Lavandeira,Norte
TO,Lizarda,Norte
TO,Luzinópolis,Norte
TO,Marianópolis do Tocantins,Norte
TO,Mateiros,Norte
TO,Maurilândia do Tocantins,Norte
TO,Miracema do Tocantins,Norte
TO,Miranorte,Norte
TO,Monte do Carmo,Norte
TO,Monte Santo do Tocantins,Norte
TO,Palmeiras do Tocantins,Norte
TO,Muricilândia,Norte
TO,Natividade,Norte
TO,Nazaré,Norte
TO,Nova Olinda,Norte
TO,Nova Rosalândia,Norte
TO,Novo Acordo,Norte
TO,Novo Alegre,Norte
TO,Novo Jardim,Norte
TO,Oliveira de Fátima,Norte
TO,Palmeirante,Norte
TO,Palmeirópolis,Norte
TO,Paraíso do Tocantins,Norte
TO,Paranã,Norte
TO,Pau D´arco,Norte
TO,Pedro Afonso,Norte
TO,Peixe,Norte
TO,Pequizeiro,Norte
TO,Colméia,Norte
TO,Pindorama do Tocantins,Norte
TO,Piraquê,Norte
TO,Pium,Norte
TO,Ponte Alta do Bom Jesus,Norte
TO,Ponte Alta do Tocantins,Norte
TO,Porto Alegre do Tocantins,Norte
TO,Porto Nacional,Norte
TO,Praia Norte,Norte
TO,Presidente Kennedy,Norte
TO,Pugmil,Norte
TO,Recursolândia,Norte
TO,Riachinho,Norte
TO,Rio da Conceição,Norte
TO,Rio Dos Bois,Norte
TO,Rio Sono,Norte
TO,Sampaio,Norte
TO,Sandolândia,Norte
TO,Santa fé do Araguaia,Norte
TO,Santa Maria do Tocantins,Norte
TO,Santa Rita do Tocantins,Norte
TO,Santa Rosa do Tocantins,Norte
TO,Santa Tereza do Tocantins,Norte
TO,Santa Terezinha do Tocantins,Norte
TO,São Bento do Tocantins,Norte
TO,São Félix do Tocantins,Norte
TO,São Miguel do Tocantins,Norte
TO,São Salvador do Tocantins,Norte
TO,São Sebastião do Tocantins,Norte
TO,São Valério da Natividade,Norte
TO,Silvanópolis,Norte
TO,Sítio Novo do Tocantins,Norte
TO,Sucupira,Norte
TO,Taguatinga,Norte
TO,Taipas do Tocantins,Norte
TO,Talismã,Norte
TO,Palmas,Norte
TO,Tocantínia,Norte
TO,Tocantinópolis,Norte
TO,Tupirama,Norte
TO,Tupiratins,Norte
TO,Wanderlândia,Norte
TO,Xambioá,Norte
MA,Açailândia,Nordeste
MA,Afonso Cunha,Nordeste
MA,Água Doce do Maranhão,Nordeste
MA,Alcântara,Nordeste
MA,Aldeias Altas,Nordeste
MA,Altamira do Maranhão,Nordeste
MA,Alto Alegre do Maranhão,Nordeste
MA,Alto Alegre do Pindaré,Nordeste
MA,Alto Parnaíba,Nordeste
MA,Amapá do Maranhão,Nordeste
MA,Amarante do Maranhão,Nordeste
MA,Anajatuba,Nordeste
MA,Anapurus,Nordeste
MA,Apicum-açu,Nordeste
MA,Araguanã,Nordeste
MA,Araioses,Nordeste
MA,Arame,Nordeste
MA,Arari,Nordeste
MA,Axixá,Nordeste
MA,Bacabal,Nordeste
MA,Bacabeira,Nordeste
MA,Bacuri,Nordeste
MA,Bacurituba,Nordeste
MA,Balsas,Nordeste
MA,Barão de Grajaú,Nordeste
MA,Barra do Corda,Nordeste
MA,Barreirinhas,Nordeste
MA,Belágua,Nordeste
MA,Bela Vista do Maranhão,Nordeste
MA,Benedito Leite,Nordeste
MA,Bequimão,Nordeste
MA,Bernardo do Mearim,Nordeste
MA,Boa Vista do Gurupi,Nordeste
MA,Bom Jardim,Nordeste
MA,Bom Jesus Das Selvas,Nordeste
MA,Bom Lugar,Nordeste
MA,Brejo,Nordeste
MA,Brejo de Areia,Nordeste
MA,Buriti,Nordeste
MA,Buriti Bravo,Nordeste
MA,Buriticupu,Nordeste
MA,Buritirana,Nordeste
MA,Cachoeira Grande,Nordeste
MA,Cajapió,Nordeste
MA,Cajari,Nordeste
MA,Campestre do Maranhão,Nordeste
MA,Cândido Mendes,Nordeste
MA,Cantanhede,Nordeste
MA,Capinzal do Norte,Nordeste
MA,Carolina,Nordeste
MA,Carutapera,Nordeste
MA,Caxias,Nordeste
MA,Cedral,Nordeste
MA,Central do Maranhão,Nordeste
MA,Centro do Guilherme,Nordeste
MA,Centro Novo do Maranhão,Nordeste
MA,Chapadinha,Nordeste
MA,Cidelândia,Nordeste
MA,Codó,Nordeste
MA,Coelho Neto,Nordeste
MA,Colinas,Nordeste
MA,Conceição do Lago-açu,Nordeste
MA,Coroatá,Nordeste
MA,Cururupu,Nordeste
MA,Davinópolis,Nordeste
MA,Dom Pedro,Nordeste
MA,Duque Bacelar,Nordeste
MA,Esperantinópolis,Nordeste
MA,Estreito,Nordeste
MA,Feira Nova do Maranhão,Nordeste
MA,Fernando Falcão,Nordeste
MA,Formosa da Serra Negra,Nordeste
MA,Fortaleza Dos Nogueiras,Nordeste
MA,Fortuna,Nordeste
MA,Godofredo Viana,Nordeste
MA,Gonçalves Dias,Nordeste
MA,Governador Archer,Nordeste
MA,Governador Edison Lobão,Nordeste
MA,Governador Eugênio Barros,Nordeste
MA,Governador Luiz Rocha,Nordeste
MA,Governador Newton Bello,Nordeste
MA,Governador Nunes Freire,Nordeste
MA,Graça Aranha,Nordeste
MA,Grajaú,Nordeste
MA,Guimarães,Nordeste
MA,Humberto de Campos,Nordeste
MA,Icatu,Nordeste
MA,Igarapé do Meio,Nordeste
MA,Igarapé Grande,Nordeste
MA,Imperatriz,Nordeste
MA,Itaipava do Grajaú,Nordeste
MA,Itapecuru Mirim,Nordeste
MA,Itinga do Maranhão,Nordeste
MA,Jatobá,Nordeste
MA,Jenipapo Dos Vieiras,Nordeste
MA,João Lisboa,Nordeste
MA,Joselândia,Nordeste
MA,Junco do Maranhão,Nordeste
MA,Lago da Pedra,Nordeste
MA,Lago do Junco,Nordeste
MA,Lago Verde,Nordeste
MA,Lagoa do Mato,Nordeste
MA,Lago Dos Rodrigues,Nordeste
MA,Lagoa Grande do Maranhão,Nordeste
MA,Lajeado Novo,Nordeste
MA,Lima Campos,Nordeste
MA,Loreto,Nordeste
MA,Luís Domingues,Nordeste
MA,Magalhães de Almeida,Nordeste
MA,Maracaçumé,Nordeste
MA,Marajá do Sena,Nordeste
MA,Maranhãozinho,Nordeste
MA,Mata Roma,Nordeste
MA,Matinha,Nordeste
MA,Matões,Nordeste
MA,Matões do Norte,Nordeste
MA,Milagres do Maranhão,Nordeste
MA,Mirador,Nordeste
MA,Miranda do Norte,Nordeste
MA,Mirinzal,Nordeste
MA,Monção,Nordeste
MA,Montes Altos,Nordeste
MA,Morros,Nordeste
MA,Nina Rodrigues,Nordeste
MA,Nova Colinas,Nordeste
MA,Nova Iorque,Nordeste
MA,Nova Olinda do Maranhão,Nordeste
MA,Olho D´água Das Cunhãs,Nordeste
MA,Olinda Nova do Maranhão,Nordeste
MA,Paço do Lumiar,Nordeste
MA,Palmeirândia,Nordeste
MA,Paraibano,Nordeste
MA,Parnarama,Nordeste
MA,Passagem Franca,Nordeste
MA,Pastos Bons,Nordeste
MA,Paulino Neves,Nordeste
MA,Paulo Ramos,Nordeste
MA,Pedreiras,Nordeste
MA,Pedro do Rosário,Nordeste
MA,Penalva,Nordeste
MA,Peri Mirim,Nordeste
MA,Peritoró,Nordeste
MA,Pindaré-mirim,Nordeste
MA,Pinheiro,Nordeste
MA,Pio Xii,Nordeste
MA,Pirapemas,Nordeste
MA,Poção de Pedras,Nordeste
MA,Porto Franco,Nordeste
MA,Porto Rico do Maranhão,Nordeste
MA,Presidente Dutra,Nordeste
MA,Presidente Juscelino,Nordeste
MA,Presidente Médici,Nordeste
MA,Presidente Sarney,Nordeste
MA,Presidente Vargas,Nordeste
MA,Primeira Cruz,Nordeste
MA,Raposa,Nordeste
MA,Riachão,Nordeste
MA,Ribamar Fiquene,Nordeste
MA,Rosário,Nordeste
MA,Sambaíba,Nordeste
MA,Santa Filomena do Maranhão,Nordeste
MA,Santa Helena,Nordeste
MA,Santa Inês,Nordeste
MA,Santa Luzia,Nordeste
MA,Santa Luzia do Paruá,Nordeste
MA,Santa Quitéria do Maranhão,Nordeste
MA,Santa Rita,Nordeste
MA,Santana do Maranhão,Nordeste
MA,Santo Amaro do Maranhão,Nordeste
MA,Santo Antônio Dos Lopes,Nordeste
MA,São Benedito do Rio Preto,Nordeste
MA,São Bento,Nordeste
MA,São Bernardo,Nordeste
MA,São Domingos do Azeitão,Nordeste
MA,São Domingos do Maranhão,Nordeste
MA,São Félix de Balsas,Nordeste
MA,São Francisco do Brejão,Nordeste
MA,São Francisco do Maranhão,Nordeste
MA,São João Batista,Nordeste
MA,São João do Carú,Nordeste
MA,São João do Paraíso,Nordeste
MA,São João do Soter,Nordeste
MA,São João Dos Patos,Nordeste
MA,São José de Ribamar,Nordeste
MA,São José Dos Basílios,Nordeste
MA,São Luís,Nordeste
MA,São Luís Gonzaga do Maranhão,Nordeste
MA,São Mateus do Maranhão,Nordeste
MA,São Pedro da Água Branca,Nordeste
MA,São Pedro Dos Crentes,Nordeste
MA,São Raimundo Das Mangabeiras,Nordeste
MA,São Raimundo do Doca Bezerra,Nordeste
MA,São Roberto,Nordeste
MA,São Vicente Ferrer,Nordeste
MA,Satubinha,Nordeste
MA,Senador Alexandre Costa,Nordeste
MA,Senador la Rocque,Nordeste
MA,Serrano do Maranhão,Nordeste
MA,Sítio Novo,Nordeste
MA,Sucupira do Norte,Nordeste
MA,Sucupira do Riachão,Nordeste
MA,Tasso Fragoso,Nordeste
MA,Timbiras,Nordeste
MA,Timon,Nordeste
MA,Trizidela do Vale,Nordeste
MA,Tufilândia,Nordeste
MA,Tuntum,Nordeste
MA,Turiaçu,Nordeste
MA,Turilândia,Nordeste
MA,Tutóia,Nordeste
MA,Urbano Santos,Nordeste
MA,Vargem Grande,Nordeste
MA,Viana,Nordeste
MA,Vila Nova Dos Martírios,Nordeste
MA,Vitória do Mearim,Nordeste
MA,Vitorino Freire,Nordeste
MA,zé Doca,Nordeste
PI,Acauã,Nordeste
PI,Agricolândia,Nordeste
PI,Água Branca,Nordeste
PI,Alagoinha do Piauí,Nordeste
PI,Alegrete do Piauí,Nordeste
PI,Alto Longá,Nordeste
PI,Altos,Nordeste
PI,Alvorada do Gurguéia,Nordeste
PI,Amarante,Nordeste
PI,Angical do Piauí,Nordeste
PI,Anísio de Abreu,Nordeste
PI,Antônio Almeida,Nordeste
PI,Aroazes,Nordeste
PI,Aroeiras do Itaim,Nordeste
PI,Arraial,Nordeste
PI,Assunção do Piauí,Nordeste
PI,Avelino Lopes,Nordeste
PI,Baixa Grande do Ribeiro,Nordeste
PI,Barra D´alcântara,Nordeste
PI,Barras,Nordeste
PI,Barreiras do Piauí,Nordeste
PI,Barro Duro,Nordeste
PI,Batalha,Nordeste
PI,Bela Vista do Piauí,Nordeste
PI,Belém do Piauí,Nordeste
PI,Beneditinos,Nordeste
PI,Bertolínia,Nordeste
PI,Betânia do Piauí,Nordeste
PI,Boa Hora,Nordeste
PI,Bocaina,Nordeste
PI,Bom Jesus,Nordeste
PI,Bom Princípio do Piauí,Nordeste
PI,Bonfim do Piauí,Nordeste
PI,Boqueirão do Piauí,Nordeste
PI,Brasileira,Nordeste
PI,Brejo do Piauí,Nordeste
PI,Buriti Dos Lopes,Nordeste
PI,Buriti Dos Montes,Nordeste
PI,Cabeceiras do Piauí,Nordeste
PI,Cajazeiras do Piauí,Nordeste
PI,Cajueiro da Praia,Nordeste
PI,Caldeirão Grande do Piauí,Nordeste
PI,Campinas do Piauí,Nordeste
PI,Campo Alegre do Fidalgo,Nordeste
PI,Campo Grande do Piauí,Nordeste
PI,Campo Largo do Piauí,Nordeste
PI,Campo Maior,Nordeste
PI,Canavieira,Nordeste
PI,Canto do Buriti,Nordeste
PI,Capitão de Campos,Nordeste
PI,Capitão Gervásio Oliveira,Nordeste
PI,Caracol,Nordeste
PI,Caraúbas do Piauí,Nordeste
PI,Caridade do Piauí,Nordeste
PI,Castelo do Piauí,Nordeste
PI,Caxingó,Nordeste
PI,Cocal,Nordeste
PI,Cocal de Telha,Nordeste
PI,Cocal Dos Alves,Nordeste
PI,Coivaras,Nordeste
PI,Colônia do Gurguéia,Nordeste
PI,Colônia do Piauí,Nordeste
PI,Conceição do Canindé,Nordeste
PI,Coronel José Dias,Nordeste
PI,Corrente,Nordeste
PI,Cristalândia do Piauí,Nordeste
PI,Cristino Castro,Nordeste
PI,Curimatá,Nordeste
PI,Currais,Nordeste
PI,Curralinhos,Nordeste
PI,Curral Novo do Piauí,Nordeste
PI,Demerval Lobão,Nordeste
PI,Dirceu Arcoverde,Nordeste
PI,Dom Expedito Lopes,Nordeste
PI,Domingos Mourão,Nordeste
PI,Dom Inocêncio,Nordeste
PI,Elesbão Veloso,Nordeste
PI,Eliseu Martins,Nordeste
PI,Esperantina,Nordeste
PI,Fartura do Piauí,Nordeste
PI,Flores do Piauí,Nordeste
PI,Floresta do Piauí,Nordeste
PI,Floriano,Nordeste
PI,Francinópolis,Nordeste
PI,Francisco Ayres,Nordeste
PI,Francisco Macedo,Nordeste
PI,Francisco Santos,Nordeste
PI,Fronteiras,Nordeste
PI,Geminiano,Nordeste
PI,Gilbués,Nordeste
PI,Guadalupe,Nordeste
PI,Guaribas,Nordeste
PI,Hugo Napoleão,Nordeste
PI,Ilha Grande,Nordeste
PI,Inhuma,Nordeste
PI,Ipiranga do Piauí,Nordeste
PI,Isaías Coelho,Nordeste
PI,Itainópolis,Nordeste
PI,Itaueira,Nordeste
PI,Jacobina do Piauí,Nordeste
PI,Jaicós,Nordeste
PI,Jardim do Mulato,Nordeste
PI,Jatobá do Piauí,Nordeste
PI,Jerumenha,Nordeste
PI,João Costa,Nordeste
PI,Joaquim Pires,Nordeste
PI,Joca Marques,Nordeste
PI,José de Freitas,Nordeste
PI,Juazeiro do Piauí,Nordeste
PI,Júlio Borges,Nordeste
PI,Jurema,Nordeste
PI,Lagoinha do Piauí,Nordeste
PI,Lagoa Alegre,Nordeste
PI,Lagoa do Barro do Piauí,Nordeste
PI,Lagoa de São Francisco,Nordeste
PI,Lagoa do Piauí,Nordeste
PI,Lagoa do Sítio,Nordeste
PI,Landri Sales,Nordeste
PI,Luís Correia,Nordeste
PI,Luzilândia,Nordeste
PI,Madeiro,Nordeste
PI,Manoel Emídio,Nordeste
PI,Marcolândia,Nordeste
PI,Marcos Parente,Nordeste
PI,Massapê do Piauí,Nordeste
PI,Matias Olímpio,Nordeste
PI,Miguel Alves,Nordeste
PI,Miguel Leão,Nordeste
PI,Milton Brandão,Nordeste
PI,Monsenhor Gil,Nordeste
PI,Monsenhor Hipólito,Nordeste
PI,Monte Alegre do Piauí,Nordeste
PI,Morro Cabeça no Tempo,Nordeste
PI,Morro do Chapéu do Piauí,Nordeste
PI,Murici Dos Portelas,Nordeste
PI,Nazaré do Piauí,Nordeste
PI,Nazária,Nordeste
PI,Nossa Senhora de Nazaré,Nordeste
PI,Nossa Senhora Dos Remédios,Nordeste
PI,Novo Oriente do Piauí,Nordeste
PI,Novo Santo Antônio,Nordeste
PI,Oeiras,Nordeste
PI,Olho D´água do Piauí,Nordeste
PI,Padre Marcos,Nordeste
PI,Paes Landim,Nordeste
PI,Pajeú do Piauí,Nordeste
PI,Palmeira do Piauí,Nordeste
PI,Palmeirais,Nordeste
PI,Paquetá,Nordeste
PI,Parnaguá,Nordeste
PI,Parnaíba,Nordeste
PI,Passagem Franca do Piauí,Nordeste
PI,Patos do Piauí,Nordeste
PI,Pau D´arco do Piauí,Nordeste
PI,Paulistana,Nordeste
PI,Pavussu,Nordeste
PI,Pedro ii,Nordeste
PI,Pedro Laurentino,Nordeste
PI,Nova Santa Rita,Nordeste
PI,Picos,Nordeste
PI,Pimenteiras,Nordeste
PI,Pio ix,Nordeste
PI,Piracuruca,Nordeste
PI,Piripiri,Nordeste
PI,Porto,Nordeste
PI,Porto Alegre do Piauí,Nordeste
PI,Prata do Piauí,Nordeste
PI,Queimada Nova,Nordeste
PI,Redenção do Gurguéia,Nordeste
PI,Regeneração,Nordeste
PI,Riacho Frio,Nordeste
PI,Ribeira do Piauí,Nordeste
PI,Ribeiro Gonçalves,Nordeste
PI,Rio Grande do Piauí,Nordeste
PI,Santa Cruz do Piauí,Nordeste
PI,Santa Cruz Dos Milagres,Nordeste
PI,Santa Filomena,Nordeste
PI,Santa Luz,Nordeste
PI,Santana do Piauí,Nordeste
PI,Santa Rosa do Piauí,Nordeste
PI,Santo Antônio de Lisboa,Nordeste
PI,Santo Antônio Dos Milagres,Nordeste
PI,Santo Inácio do Piauí,Nordeste
PI,São Braz do Piauí,Nordeste
